Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Region.1,longitude,latitude,Year,Month
Madhya Pradesh,2020-07-31, M,5.08,23940158,40.88,West,22.9734,78.6569,2020,7
Madhya Pradesh,2020-08-31, M,4.7,23619011,40.08,West,22.9734,78.6569,2020,8
Madhya Pradesh,2020-09-30, M,3.91,23341952,39.2,West,22.9734,78.6569,2020,9
Madhya Pradesh,2020-10-31, M,3.13,23144552,38.47,West,22.9734,78.6569,2020,10
Maharashtra,2020-01-31, M,4.95,42596868,44.19,West,19.7515,75.7139,2020,1
Maharashtra,2020-02-29, M,4.69,42416317,43.8,West,19.7515,75.7139,2020,2
Maharashtra,2020-03-31, M,5.79,40196806,41.91,West,19.7515,75.7139,2020,3
Maharashtra,2020-04-30, M,20.9,27689253,34.32,West,19.7515,75.7139,2020,4
Maharashtra,2020-05-31, M,15.46,32116847,37.17,West,19.7515,75.7139,2020,5
Maharashtra,2020-06-30, M,9.23,39708538,42.71,West,19.7515,75.7139,2020,6
Maharashtra,2020-07-31, M,3.89,40998545,41.57,West,19.7515,75.7139,2020,7
Maharashtra,2020-08-31, M,6.23,40963616,42.49,West,19.7515,75.7139,2020,8
Maharashtra,2020-09-30, M,4.55,42042911,42.75,West,19.7515,75.7139,2020,9
Maharashtra,2020-10-31, M,4.1,43317881,43.75,West,19.7515,75.7139,2020,10
Meghalaya,2020-01-31, M,1.66,1491093,65.49,Northeast,25.467,91.3662,2020,1
Meghalaya,2020-02-29, M,3.59,1346829,60.2,Northeast,25.467,91.3662,2020,2
Meghalaya,2020-03-31, M,1.58,1482351,64.74,Northeast,25.467,91.3662,2020,3
Meghalaya,2020-04-30, M,10.03,965057,45.99,Northeast,25.467,91.3662,2020,4
Meghalaya,2020-05-31, M,5.92,1215064,55.24,Northeast,25.467,91.3662,2020,5
Meghalaya,2020-06-30, M,1.15,1350794,58.31,Northeast,25.467,91.3662,2020,6
Meghalaya,2020-07-31, M,2.1,1448106,62.96,Northeast,25.467,91.3662,2020,7
Meghalaya,2020-08-31, M,3.74,1357643,59.88,Northeast,25.467,91.3662,2020,8
Meghalaya,2020-09-30, M,4.29,1459726,64.6,Northeast,25.467,91.3662,2020,9
Meghalaya,2020-10-31, M,4.6,1381490,61.18,Northeast,25.467,91.3662,2020,10
Odisha,2020-01-31, M,1.9,13743448,39.44,East,20.9517,85.0985,2020,1
Odisha,2020-02-29, M,3.12,14280735,41.44,East,20.9517,85.0985,2020,2
Odisha,2020-03-31, M,13.08,12272109,39.62,East,20.9517,85.0985,2020,3
Odisha,2020-04-30, M,23.76,6865693,25.23,East,20.9517,85.0985,2020,4
Odisha,2020-05-31, M,11.41,11730937,37.04,East,20.9517,85.0985,2020,5
Odisha,2020-06-30, M,3.77,12903993,37.45,East,20.9517,85.0985,2020,6
Odisha,2020-07-31, M,1.88,13614400,38.69,East,20.9517,85.0985,2020,7
Odisha,2020-08-31, M,1.42,14154039,39.96,East,20.9517,85.0985,2020,8
Odisha,2020-09-30, M,2.1,13608422,38.63,East,20.9517,85.0985,2020,9
Odisha,2020-10-31, M,2.18,14094553,39.98,East,20.9517,85.0985,2020,10
Puducherry,2020-01-31, M,0.58,457950,37.46,South,11.9416,79.8083,2020,1
Puducherry,2020-02-29, M,1.76,493961,40.8,South,11.9416,79.8083,2020,2
Puducherry,2020-03-31, M,1.2,421028,34.49,South,11.9416,79.8083,2020,3
Puducherry,2020-04-30, M,75.85,117542,39.3,South,11.9416,79.8083,2020,4
Puducherry,2020-05-31, M,58.19,172308,33.19,South,11.9416,79.8083,2020,5
Puducherry,2020-06-30, M,4.24,367135,30.8,South,11.9416,79.8083,2020,6
Puducherry,2020-07-31, M,15.47,386563,36.64,South,11.9416,79.8083,2020,7
Puducherry,2020-08-31, M,5.05,396006,33.34,South,11.9416,79.8083,2020,8
Puducherry,2020-09-30, M,10.9,411717,36.84,South,11.9416,79.8083,2020,9
Puducherry,2020-10-31, M,6.18,428419,36.32,South,11.9416,79.8083,2020,10
Punjab,2020-01-31, M,11.11,9442093,42.82,North,31.1471,75.3412,2020,1
Punjab,2020-02-29, M,10.97,9229047,41.72,North,31.1471,75.3412,2020,2
Punjab,2020-03-31, M,10.32,9975485,44.69,North,31.1471,75.3412,2020,3
Punjab,2020-04-30, M,2.86,7020565,28.99,North,31.1471,75.3412,2020,4
Punjab,2020-05-31, M,28.33,6872938,38.39,North,31.1471,75.3412,2020,5
Punjab,2020-06-30, M,16.55,8390766,40.18,North,31.1471,75.3412,2020,6
Punjab,2020-07-31, M,9.19,9732417,42.76,North,31.1471,75.3412,2020,7
Punjab,2020-08-31, M,10.99,9386169,41.99,North,31.1471,75.3412,2020,8
Punjab,2020-09-30, M,9.61,8980432,39.5,North,31.1471,75.3412,2020,9
Punjab,2020-10-31, M,9.88,8800430,38.75,North,31.1471,75.3412,2020,10
Rajasthan,2020-01-31, M,10.97,20641716,40.51,North,27.0238,74.2179,2020,1
